sample,system,nobs,sample_start,sample_end,variables,det_order,deterministic,k_ar_diff,r_null,trace_stat,trace_crit_95,trace_reject_95,maxeig_stat,maxeig_crit_95,maxeig_reject_95,selected_trace_rank_5pct,selected_maxeig_rank_5pct,error
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,1,1,69.00706226211125,69.8189,False,24.133459062162743,33.8777,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,1,2,44.8736031999485,47.8545,False,20.344299514711917,27.5858,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,1,3,24.529303685236584,29.7961,False,12.164182264206797,21.1314,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,1,4,12.36512142102979,15.4943,False,11.324981754182224,14.2639,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,1,5,1.040139666847567,3.8415,False,1.040139666847567,3.8415,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,2,0,109.03321935894162,95.7542,True,41.08158727434347,40.0763,True,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,2,1,67.95163208459816,69.8189,False,27.234844668949282,33.8777,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,2,2,40.71678741564889,47.8545,False,20.002275817737317,27.5858,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,2,3,20.714511597911567,29.7961,False,10.801043727039321,21.1314,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,2,4,9.913467870872248,15.4943,False,9.789265636318172,14.2639,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",0,constant,2,5,0.12420223455407581,3.8415,False,0.12420223455407581,3.8415,False,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,1,0,137.89580844533918,107.3429,True,69.92776676083228,43.4183,True,1,1,
baseline,liquidity_credit_housing_income_dax,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock,ln_nfc_loans_ea_stock,ln_house_price_de_real,ln_compensation_ea20_real,ln_dax_real_de",1,linear_trend,1,1,67.9680416845069,79.3422,False,26.512826397304945,37.1646,False,1,1,
