quarter,event_count,date,regime,identification_regime,timing_factor_market_magnitude_weighted_quarterly_sum,timing_factor_crisis_weighted_quarterly_sum,timing_factor_qe_event_weighted_quarterly_sum,target_factor_market_magnitude_weighted_quarterly_sum,target_factor_crisis_weighted_quarterly_sum,target_factor_qe_event_weighted_quarterly_sum,fg_factor_market_magnitude_weighted_quarterly_sum,fg_factor_crisis_weighted_quarterly_sum,fg_factor_qe_event_weighted_quarterly_sum,qe_factor_market_magnitude_weighted_quarterly_sum,qe_factor_crisis_weighted_quarterly_sum,qe_factor_qe_event_weighted_quarterly_sum
2015Q3,2,2015-09-30,qe_era,qe_era,0.14938348599213847,0.5949368946049126,1.1511500115914017,-0.1966454595354476,-0.6881017310766988,-1.329865818638177,-0.25018769157780585,-1.0408071667850902,-2.001771356395143,0.3889557920839417,0.20832594208143074,0.5972817341653722
2015Q4,2,2015-12-31,qe_era,qe_era,1.0507886002890647,0.45812992340105296,4.654786362459973,19.83265207622578,4.6051020798052065,21.923428281410292,1.653537610263496,0.893478263755342,7.794561698307454,22.314846470036404,4.46974998264537,26.784596452681775
2016Q1,2,2016-03-31,qe_era,qe_era,-2.248337831970995,-1.9485500584721978,-3.752930675507502,1.8709774103336794,1.9019123548250847,2.8435928220862516,8.5780848273776,2.9362937897381665,2.4434942417205545,-2.4395273571697373,-2.7226581600134265,-5.162185517183164
2016Q2,2,2016-06-30,qe_era,qe_era,-0.17466067573792074,-0.23505927519614261,-0.8686511782483677,-0.22705728061870306,-0.738423265765475,-1.4835309086896356,1.5584487393548863,1.661510306225075,4.25972310722114,-3.5784607002504196,-1.8176090924004895,-5.396069792650909
2016Q3,2,2016-09-30,qe_era,qe_era,9.38965730146253,3.4810491874820553,5.609450524574951,0.03881753704440328,0.30473762040208463,0.39857147492692246,-7.023883816104357,-3.480185169072594,-6.019655998773371,0.810029169795358,1.325272090503113,2.1353012602984713
2016Q4,2,2016-12-31,qe_era,qe_era,0.1387760500072065,0.2695258556448215,0.12800134464444368,-0.04707701379940985,-0.1229172428343282,-0.44161549016968704,0.3037657209413255,0.8487075734055508,1.8153192959377198,-2.7428959040941896,-2.5814920663793215,-5.32438797047351
2017Q1,2,2017-03-31,qe_era,qe_era,-0.7782858978586764,-0.9512501864078213,-3.1705048467818604,-0.3001506790882721,-0.8497538895561445,-1.8782157061363136,2.7968304027909365,2.738720910410708,8.512904269091862,10.628904125696828,4.665242875480073,15.294147001176903
2017Q2,2,2017-06-30,qe_era,qe_era,0.07472343716564761,0.4086460469863388,0.6361960715503255,-0.09091474562999985,-0.461488745873925,-0.7271732613970951,-0.038305686712380396,-0.19469373115650412,-0.20914767947389976,-1.7353088055242178,-2.4510639851354528,-4.186372790659671
2017Q3,2,2017-09-30,qe_era,qe_era,0.1896397546387645,0.30669565958168454,0.5351555405584942,-0.765704097587168,-1.3579954043085087,-1.9047464617241858,-0.22033024385714223,-0.6131403504023405,-0.9755392367274703,-0.4591669175596163,-0.5709391268195311,-1.030106044379147
2017Q4,2,2017-12-31,qe_era,qe_era,-0.10431457547485343,-0.4972653212984437,-0.631182361895704,0.04251195565244556,0.05280195122381065,0.27789158277151527,0.12879975851626677,0.7475507429124789,0.915320247663462,0.4607036935853675,0.8665779216533731,1.3272816152387406
2018Q1,2,2018-03-31,qe_era,qe_era,0.021423601248293716,0.1085480704653908,0.23839890893922921,-0.13710782988454107,-0.4740937678688302,-1.7369385460328997,0.02629693114888633,0.12460915694166297,0.1673717214021102,9.500844217644786,2.0566011521347125,11.557445369779499
2018Q2,2,2018-06-30,qe_era,qe_era,0.5229792710388488,1.1132098170232034,1.2715504828366466,-1.6779943463535043,-1.7389359043021024,-1.852699102348126,-0.5852029887096194,-1.620805873013662,-1.8655665699921014,0.16078977057846733,0.5800672486668034,0.7408570192452707
2018Q3,2,2018-09-30,qe_era,qe_era,-0.015399812400014952,-0.0922285573845411,-0.14420149816392056,-0.06761974307772549,-0.3956742289690698,-0.6373681131246121,-0.04139495482581116,-0.1557356293720061,-0.23818956478791947,-0.09740288996642965,-0.08026004068332848,-0.1776629306497579
2018Q4,2,2018-12-31,qe_era,qe_era,0.16271401450509268,0.3839892129016777,0.7128303762909675,-0.5864329374280056,-0.5974212783011621,-1.164592172244337,-0.12119028266329875,-0.3955317116096952,-0.7580129370489789,-1.8899558849078908,-2.686802666924457,-4.576758551832348
2019Q1,2,2019-03-31,qe_era,qe_era,-0.23331449069184185,-0.29872412194605846,-1.1913035763233104,-0.2599761605786507,-0.7844131794808034,-1.5013453879666874,0.8127439906088642,1.0752016598865408,3.2396868268165697,-5.6129930845455505,-3.977511770708725,-9.590504855254276
2019Q2,2,2019-06-30,qe_era,qe_era,0.3499976515647697,0.3670483926639803,0.08797167536428496,0.06372025409128698,0.3878811443637694,0.7533965562686956,-0.08716324411778854,-0.5206963333599215,-0.8527450618790546,-4.726280116159246,-2.306875314976679,-7.033155431135924
