"date","quarter","baseline_sample","robustness_sample","wx_shadow_rate","dfr_eop","dfr_qavg","ecb_assets_ea_stock","ecb_assets_ea_qavg","ecb_assets_ea_trillions","ln_ecb_assets_ea_stock","hh_loans_ea_stock","ln_hh_loans_ea_stock","nfc_loans_ea_stock","ln_nfc_loans_ea_stock","house_price_de","house_price_de_real","ln_house_price_de","ln_house_price_de_real","compensation_ea20_nominal","compensation_ea20_real","ln_compensation_ea20_nominal","ln_compensation_ea20_real","dax_close","dax_real_de","ln_dax_close","ln_dax_real_de","hicp_de","hicp_ea20","hicp_ea","ln_hicp_de","ln_hicp_ea20","credit_standards_enterprise","credit_standards_household","retail_de_mom_pct_qavg","retail_de_chained_index_qavg","dummy_gfc_2008q4","dummy_euro_crisis_2012q3","dummy_qe_launch_2015q1","dummy_covid_2020q2","dummy_2022_tightening_q3","regime_qe_2015_2022q2","regime_post_covid","regime_post_2022_tightening"
2014-03-31,"2014Q1",TRUE,TRUE,-0.595961640071171,0,0,2152103,2195378.92307692,2.152103,14.581956061572,5543770.78,15.5281854733983,4429614.86,15.30382319919,109.9,94.7958596894767,4.69957086140958,4.55172573414559,91.45,77.9071418429646,4.51579237483687,4.35551762830166,9555.91,8242.5905692927,9.16491509023475,9.01706996297077,115.933333333333,117.383333333333,117.173333333333,4.75301531325207,4.76544493252331,2,-1,0.4,100.913369284793,0,0,0,0,0,0,0,0
2014-06-30,"2014Q2",TRUE,TRUE,-0.80630563683765,-0.1,-0.021978021978022,2088099,2158636.76923077,2.088099,14.5517646406538,5553118.75,15.5298702648321,4417093.77,15.3009925196945,112.1,96.5824238943136,4.71939133007811,4.57039677740023,91.63,77.4076368551476,4.51775872897712,4.34908544310754,9833.07,8471.9155657668,9.1935064736402,9.04451192096232,116.066666666667,118.373333333333,118.156666666667,4.75416473866598,4.77384347185767,1,-5,0,100.871835653455,0,0,0,0,0,0,0,0
2014-09-30,"2014Q3",TRUE,TRUE,-1.20955532252986,-0.2,-0.122826086956522,2038235,2033564.15384615,2.038235,14.5275947952438,5548532.26,15.5290439930899,4385819.26,15.2938869987205,112.7,96.6552315608919,4.72472942104573,4.57115033311743,91.95,77.9810029965511,4.52124495105033,4.35646524569988,9474.3,8125.47169811321,9.1563381485935,9.0027590606652,116.6,117.913333333333,117.693333333333,4.75874927391639,4.76994989133854,-4,-4,-0.266666666666667,100.812343609354,0,0,0,0,0,0,0,0
2014-12-31,"2014Q4",TRUE,TRUE,-1.89503245870647,-0.2,-0.2,2150247,2054905.15384615,2.150247,14.5810932772261,5555463.07,15.5302923385176,4253517.96,15.2632569537942,112.7,96.960137654144,4.72472942104573,4.57429994202033,92.37,78.2509248016265,4.52580225060452,4.35992064790156,9805.55,8436.09119587037,9.19070383088692,9.04027435186152,116.233333333333,118.043333333333,117.833333333333,4.7555996650135,4.77105178869105,-2,-1,0.733333333333333,102.012872647773,0,0,0,0,0,0,0,0
2015-03-31,"2015Q1",TRUE,TRUE,-2.59652701867357,-0.2,-0.2,2250801,2169025.53846154,2.250801,14.6267967108276,5563326.12,15.5317067103843,4281308.05,15.2697691400248,114.6,98.9922257414339,4.74144780428064,4.59504131918681,92.72,79.2456055383037,4.5295841990315,4.37255196059917,11966.17,10336.4555139649,9.38983878076866,9.24343229567484,115.766666666667,117.003333333333,116.796666666667,4.75157667108192,4.76220242442041,-5,-3,0.0666666666666667,103.234856706827,0,0,1,0,0,1,0,0
2015-06-30,"2015Q2",TRUE,TRUE,-2.23073515685875,-0.2,-0.2,2539544,2400623.76923077,2.539544,14.7474950953187,5596932.32,15.5377292056081,4281862.7,15.2698986831618,117,99.5462280204197,4.76217393479776,4.60062213949019,93.17,78.3687545561599,4.53442578146233,4.36142530909417,10944.97,9312.22631877481,9.30063526897559,9.13908347366802,117.533333333333,118.886666666667,118.673333333333,4.76672198129566,4.77817065835626,-9,2,0.433333333333333,104.473168119796,0,0,0,0,0,1,0,0
2015-09-30,"2015Q3",TRUE,TRUE,-2.50823470921941,-0.2,-0.2,2620631,2550082.46153846,2.620631,14.7789256864347,5618980.01,15.5416607125155,4257732.99,15.2642474146253,117.6,99.7737556561086,4.76728903546453,4.60290517935724,93.34,78.8544394694602,4.53624874052167,4.36760361454396,9660.44,8196.07466063349,9.1757944748235,9.01141061871621,117.866666666667,118.37,118.156666666667,4.76955404209538,4.7738153119658,-4,-7,0.5,105.716342156728,0,0,0,0,0,1,0,0
2015-12-31,"2015Q4",TRUE,TRUE,-2.7171040936055,-0.3,-0.225,2767815,2688156.69230769,2.767815,14.833568758226,5648249.24,15.5468561860767,4258010.25,15.2643125316661,119.3,102.053036783576,4.78164132910387,4.62549264661394,93.7,79.1786378232212,4.54009818924438,4.37170653798392,10743.01,9189.91445680069,9.2820105895048,9.12586190701486,116.9,118.34,118.136666666667,4.76131886847802,4.77356183724855,-3,2,0.8,106.591711609836,0,0,0,0,0,1,0,0
2016-03-31,"2016Q1",TRUE,TRUE,-3.55379700508383,-0.4,-0.317582417582418,2897696,2828661.76923077,2.897696,14.8794264964294,5649301.47,15.547042461851,4274233.31,15.2681153015791,121.7,104.974123059229,4.80155899999348,4.6537138727295,94.01,80.3092431231847,4.54340115959046,4.38588472171548,9965.51,8595.89706728005,9.20688541046423,9.05904028320025,115.933333333333,117.06,116.856666666667,4.75301531325207,4.76268662386307,-3,-6,-0.866666666666667,106.326543304502,0,0,0,0,0,1,0,0
2016-06-30,"2016Q2",TRUE,TRUE,-3.92365598255806,-0.4,-0.4,3131095,3033101.38461538,3.131095,14.9568933415921,5690543.08,15.5543162461877,4303892.28,15.2750303526295,125.2,106.64395229983,4.829912458666,4.66949573726009,94.12,79.2611722434314,4.54457056385916,4.37274837750192,9680.09,8245.39182282794,9.17782647774806,9.01740975634216,117.4,118.746666666667,118.543333333333,4.765586907394,4.77699237234534,-5,3,0.0666666666666667,105.969061409023,0,0,0,0,0,1,0,0
