quarter,date,regime,identification_regime,monthly_event_count,missing_months_in_quarter,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum
2009Q4,2009-12-31,gfc,pre_qe,3,0,-7.639240008675555,-2.5464133362251853,7.639240008675555,-2.27999521715414,-0.7599984057180467,2.27999521715414,4.432622979737243,1.4775409932457475,10.726254521012383,0.0,,,-1.1329741613047104,-0.3776580537682368,1.1329741613047104
2010Q1,2010-03-31,euro_crisis,pre_qe,3,0,-1.3447329162238564,-0.4482443054079521,1.6332282546324612,-1.2727775905775018,-0.4242591968591673,1.2727775905775018,-2.5692383194994037,-0.8564127731664679,4.6976616156496505,0.0,,,-0.6158530714121049,-0.20528435713736828,0.6158530714121049
2010Q2,2010-06-30,euro_crisis,pre_qe,3,0,0.45108740715399964,0.15036246905133321,3.712491689028778,0.05786208322789088,0.019287361075963627,1.7238528453285622,-0.6435840805740339,-0.2145280268580113,2.0191333563953244,0.0,,,0.022269500015926938,0.007423166671975646,0.2784187803561716
2010Q3,2010-09-30,euro_crisis,pre_qe,3,0,2.316704889647329,0.7722349632157762,4.198173343380027,-0.0229495021891213,-0.007649834063040433,0.4837439778089175,-0.9853815284738915,-0.3284605094912972,2.8853496422071956,0.0,,,0.28657930947541205,0.09552643649180402,0.9541923346462297
2010Q4,2010-12-31,euro_crisis,pre_qe,3,0,-2.625266796741144,-0.875088932247048,3.8941002771141173,-0.8569429570044269,-0.285647652334809,0.8569429570044269,-0.4175392452407174,-0.13917974841357247,2.8428029358058122,0.0,,,-0.5763479575114263,-0.1921159858371421,0.5763479575114263
2011Q1,2011-03-31,euro_crisis,pre_qe,3,0,8.221568609220606,2.740522869740202,12.329857580740958,-1.5010211341350794,-0.5003403780450265,1.5010211341350794,10.775047720760494,3.5916825735868314,18.043643130540808,0.0,,,2.1455751609077054,0.7151917203025685,3.5945352051843833
2011Q2,2011-06-30,euro_crisis,pre_qe,3,0,-3.6848174607857898,-1.2282724869285966,8.32419768837647,-0.5406630389085476,-0.18022101296951587,2.176218814975019,-13.698601373197343,-4.566200457732448,13.698601373197345,0.0,,,-1.926620304436692,-0.642206768145564,2.2572183910218
2011Q3,2011-09-30,euro_crisis,pre_qe,3,0,-9.680086154187093,-3.2266953847290307,13.660063203369004,2.041601212030598,0.6805337373435326,2.041601212030598,-9.704260193967407,-3.234753397989136,13.791760731106493,0.0,,,-2.218547325461527,-0.7395157751538424,2.8463372338170156
2011Q4,2011-12-31,euro_crisis,pre_qe,3,0,-1.4296876923074149,-0.4765625641024716,4.636050757593026,-0.3013713711719581,-0.10045712372398603,27.020421193187296,14.243008079225909,4.74766935974197,14.243008079225909,0.0,,,1.0322560397465053,0.34408534658216844,3.5963629875451644
2012Q1,2012-03-31,euro_crisis,pre_qe,3,0,-0.34022401242620426,-0.11340800414206809,0.6136116393887021,-0.7070428150490569,-0.23568093834968562,0.7478614230796626,1.3191497940706636,0.4397165980235545,1.3191497940706636,0.0,,,-0.02389954656858352,-0.007966515522861173,0.0703330043607374
2012Q2,2012-06-30,euro_crisis,pre_qe,3,0,1.8888542448478236,0.6296180816159412,1.8888542448478236,0.590242432436997,0.196747477478999,2.009916327309936,2.437569044838067,0.8125230149460223,2.9226701362238208,0.0,,,0.6071053437531764,0.20236844791772546,0.8013421955605904
2012Q3,2012-09-30,euro_crisis,pre_qe,3,0,1.1383913618008106,0.37946378726693686,1.5458135595743894,-9.613790374382258,-3.204596791460753,12.27330010036858,-0.5488665911427244,-0.18295553038090814,4.9197330800796,0.0,,,-1.0732238574802881,-0.35774128582676273,1.9144277726132422
