horizon,impulse,response,irf
12,ln_real_income,ln_real_equity,1.551672027342136
12,ln_real_income,ln_real_housing,0.3711483919250313
12,ln_real_income,ln_real_income,0.19287892618747943
12,ln_real_income,ln_cpi,0.04264443514616319
12,ln_cpi,shadow_rate,35.10127083719664
12,ln_cpi,ln_credit,-0.6178390059944501
12,ln_cpi,ln_real_equity,-3.5437154354004203
12,ln_cpi,ln_real_housing,1.4686978461122537
12,ln_cpi,ln_real_income,-0.45692366194898154
12,ln_cpi,ln_cpi,1.5435615707459207
13,shadow_rate,shadow_rate,1.2194471272398937
13,shadow_rate,ln_credit,-0.012000072500359834
13,shadow_rate,ln_real_equity,-0.0018015764658426275
13,shadow_rate,ln_real_housing,-0.0064297127586985465
13,shadow_rate,ln_real_income,-0.007550205258965169
13,shadow_rate,ln_cpi,-0.0007219414871306872
13,ln_credit,shadow_rate,-15.923112623645126
13,ln_credit,ln_credit,0.8635159242554442
13,ln_credit,ln_real_equity,-0.955024082395906
13,ln_credit,ln_real_housing,-0.6794607130559126
13,ln_credit,ln_real_income,0.20712217907010888
13,ln_credit,ln_cpi,-0.2406076674976786
13,ln_real_equity,shadow_rate,3.699279683267474
13,ln_real_equity,ln_credit,0.051326211139474096
13,ln_real_equity,ln_real_equity,0.6068870069907301
13,ln_real_equity,ln_real_housing,0.04225398454005644
13,ln_real_equity,ln_real_income,0.033257702145428586
13,ln_real_equity,ln_cpi,0.04358648479357301
13,ln_real_housing,shadow_rate,50.11699436041498
13,ln_real_housing,ln_credit,0.15637895140096952
13,ln_real_housing,ln_real_equity,-1.091045012172649
13,ln_real_housing,ln_real_housing,4.371481831528822
13,ln_real_housing,ln_real_income,0.06304359237245652
13,ln_real_housing,ln_cpi,0.28412772454724095
13,ln_real_income,shadow_rate,-9.633391043142945
13,ln_real_income,ln_credit,0.04343558542529158
13,ln_real_income,ln_real_equity,1.539185126283433
13,ln_real_income,ln_real_housing,0.398525406022187
13,ln_real_income,ln_real_income,0.18616471980070273
13,ln_real_income,ln_cpi,0.051545597133855085
13,ln_cpi,shadow_rate,34.77321784838622
13,ln_cpi,ln_credit,-0.6404590361253838
13,ln_cpi,ln_real_equity,-3.589003359716122
13,ln_cpi,ln_real_housing,1.478056422498978
13,ln_cpi,ln_real_income,-0.4341210808663587
13,ln_cpi,ln_cpi,1.5234162229304062
14,shadow_rate,shadow_rate,1.2027894636914107
14,shadow_rate,ln_credit,-0.012510476176379414
14,shadow_rate,ln_real_equity,-0.0005739355483221995
14,shadow_rate,ln_real_housing,-0.006969570874366147
14,shadow_rate,ln_real_income,-0.007497819984970041
14,shadow_rate,ln_cpi,-0.0009707665598418108
14,ln_credit,shadow_rate,-16.485441429908033
14,ln_credit,ln_credit,0.8434815371133242
14,ln_credit,ln_real_equity,-0.8956934991407355
14,ln_credit,ln_real_housing,-0.7039947099413112
14,ln_credit,ln_real_income,0.20457597798869992
14,ln_credit,ln_cpi,-0.24753934017769721
14,ln_real_equity,shadow_rate,3.8128469935183826
14,ln_real_equity,ln_credit,0.05424456681057036
14,ln_real_equity,ln_real_equity,0.5934533855846617
14,ln_real_equity,ln_real_housing,0.04398645131399581
14,ln_real_equity,ln_real_income,0.03440094056986945
14,ln_real_equity,ln_cpi,0.04459475727257918
14,ln_real_housing,shadow_rate,50.94665910316516
14,ln_real_housing,ln_credit,0.16775417668208042
14,ln_real_housing,ln_real_equity,-1.167290576300256
14,ln_real_housing,ln_real_housing,4.431415539351165
14,ln_real_housing,ln_real_income,0.0677045310599691
14,ln_real_housing,ln_cpi,0.2861881517881356
14,ln_real_income,shadow_rate,-9.201908856870382
14,ln_real_income,ln_credit,0.062111627151986606
14,ln_real_income,ln_real_equity,1.5159986165668553
14,ln_real_income,ln_real_housing,0.42450725705812026
14,ln_real_income,ln_real_income,0.1813334453050771
14,ln_real_income,ln_cpi,0.060354907418513445
14,ln_cpi,shadow_rate,34.44431753892559
14,ln_cpi,ln_credit,-0.6784286990733405
14,ln_cpi,ln_real_equity,-3.571131348914647
14,ln_cpi,ln_real_housing,1.4742119513877276
14,ln_cpi,ln_real_income,-0.4253542895660036
14,ln_cpi,ln_cpi,1.5054852908764766
15,shadow_rate,shadow_rate,1.1863697655363261
15,shadow_rate,ln_credit,-0.013032778497273162
15,shadow_rate,ln_real_equity,0.0007951493238024434
15,shadow_rate,ln_real_housing,-0.007472543688689732
15,shadow_rate,ln_real_income,-0.007485229209959164
15,shadow_rate,ln_cpi,-0.001207324871249986
15,ln_credit,shadow_rate,-17.04763180562186
15,ln_credit,ln_credit,0.8261021731563838
15,ln_credit,ln_real_equity,-0.8437743410804002
15,ln_credit,ln_real_housing,-0.7279794606586345
15,ln_credit,ln_real_income,0.20350175033122095
15,ln_credit,ln_cpi,-0.2542863615603642
