event_id,event_date,event_quarter,regime,target_factor,timing_factor,ois_1m_mew,ois_6m_mew,stoxx50_mew,rate_factor_for_screen,yield_response_for_screen,equity_response_for_screen,ois_movement,equity_window_response,rate_factor_sign,yield_response_sign,equity_response_sign,information_effect_screen,contamination_classification,contamination_flag,monthly_identification_window
ECB_20110609,2011-06-09,2011Q2,euro_crisis,-0.3234102581286034,1.0283370920187156,-0.299999999999989,-1.69999999999999,0.2065422702864689,-0.3234102581286034,-1.69999999999999,0.2065422702864689,-1.69999999999999,0.2065422702864689,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20111006,2011-10-06,2011Q4,euro_crisis,11.243244929595717,1.296897812921039,12.7,11.5,-0.874495698297029,11.243244929595717,11.5,-0.874495698297029,11.5,-0.874495698297029,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20111103,2011-11-03,2011Q4,euro_crisis,-13.660896282179626,0.3062837197217668,-13.75,-8.05,0.167902536674891,-13.660896282179626,-8.05,0.167902536674891,-8.05,0.167902536674891,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20120209,2012-02-09,2012Q1,euro_crisis,-0.2131508831406245,0.1366938134812489,0.25,-0.25,0.464658734617274,-0.2131508831406245,-0.25,0.464658734617274,-0.25,0.464658734617274,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20120503,2012-05-03,2012Q2,euro_crisis,0.0477131275486181,1.0959755922007244,0.700000000000001,1.2,-1.05730906443915,0.0477131275486181,1.2,-1.05730906443915,1.2,-1.05730906443915,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20120606,2012-06-06,2012Q2,euro_crisis,1.2523662523248484,0.7050020594636024,1.9,2.2,-0.620527275185268,1.2523662523248484,2.2,-0.620527275185268,2.2,-0.620527275185268,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20120802,2012-08-02,2012Q3,euro_crisis,0.6990611620444949,0.7447520263739803,2.5,2.1,-2.76954372443159,0.6990611620444949,2.1,-2.76954372443159,2.1,-2.76954372443159,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20121004,2012-10-04,2012Q4,euro_crisis,0.3341755971415536,0.6326013471030244,0.3,0.4999999999999988,-0.0971934466925006,0.3341755971415536,0.4999999999999988,-0.0971934466925006,0.4999999999999988,-0.0971934466925006,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20121108,2012-11-08,2012Q4,euro_crisis,0.0785695734820002,0.8913652473769805,0.5999999999999989,1.1,-0.0376311590433609,0.0785695734820002,1.1,-0.0376311590433609,1.1,-0.0376311590433609,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20130502,2013-05-02,2013Q2,euro_crisis,-0.2966907274953695,-0.4372546430678353,-0.3,-1.0,0.0036893289852457,-0.2966907274953695,-1.0,0.0036893289852457,-1.0,0.0036893289852457,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20130606,2013-06-06,2013Q2,euro_crisis,0.1965063452010152,-0.3561721183648259,0.4999999999999988,1.6,-0.7404903366272639,0.1965063452010152,1.6,-0.7404903366272639,1.6,-0.7404903366272639,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20130704,2013-07-04,2013Q3,euro_crisis,-0.3654420939211555,0.0864251118275455,-0.5,-1.5,1.60533889301364,-0.3654420939211555,-1.5,1.60533889301364,-1.5,1.60533889301364,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20130905,2013-09-05,2013Q3,euro_crisis,-0.2059793327714957,-0.1714766188579363,-0.3,-0.4999999999999988,0.119633884026715,-0.2059793327714957,-0.4999999999999988,0.119633884026715,-0.4999999999999988,0.119633884026715,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20131107,2013-11-07,2013Q4,euro_crisis,-0.9642463858571996,-0.2750410250147889,-0.3,-1.0,0.922527796492822,-0.9642463858571996,-1.0,0.922527796492822,-1.0,0.922527796492822,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20131205,2013-12-05,2013Q4,euro_crisis,0.0059078054083104,0.9950296301653434,0.800000000000001,1.0,-0.346216518112818,0.0059078054083104,1.0,-0.346216518112818,1.0,-0.346216518112818,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
