dimension,response,horizon,value,sign,control_lags,regime
lag_sensitivity,ln_house_price_de_real,4,5.6909348204626195e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,8,1.3246495266001344e-08,positive,2.0,
lag_sensitivity,ln_house_price_de_real,12,6.871932936282943e-08,positive,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,0,7.1298949001918625e-09,positive,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,1,-1.5822346512696376e-08,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,2,-1.129206615382496e-08,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,4,-4.6838269151688575e-08,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,8,-1.335723142534177e-07,negative,2.0,
lag_sensitivity,ln_nfc_loans_ea_stock,12,-2.41018940369883e-07,negative,2.0,
lag_sensitivity,ln_compensation_ea20_real,0,8.549605493076934e-09,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,1,3.2472487756245674e-08,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,2,3.0838316090746294e-09,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,4,1.1023682587228091e-08,positive,4.0,
lag_sensitivity,ln_compensation_ea20_real,8,-3.36085874221208e-08,negative,4.0,
lag_sensitivity,ln_compensation_ea20_real,12,-2.993501429210696e-08,negative,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,0,2.615261845342906e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,1,3.907219832701282e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,2,5.264009653647771e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,4,5.106647410505814e-07,positive,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,8,-4.119793445052979e-07,negative,4.0,
lag_sensitivity,ln_ecb_assets_ea_stock,12,-1.0665362912814533e-07,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,0,-6.107884479913717e-09,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,1,-1.0893251735582878e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,2,-1.3481455274138338e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,4,-1.949702438633663e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,8,-4.0062323620102595e-08,negative,4.0,
lag_sensitivity,ln_hh_loans_ea_stock,12,-4.98773766334147e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,0,-3.897880890068205e-09,negative,4.0,
lag_sensitivity,ln_house_price_de_real,1,-2.853320087786642e-09,negative,4.0,
lag_sensitivity,ln_house_price_de_real,2,-3.2330847736748385e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,4,2.7827904954129208e-08,positive,4.0,
lag_sensitivity,ln_house_price_de_real,8,-2.470165997700716e-08,negative,4.0,
lag_sensitivity,ln_house_price_de_real,12,1.7932371508888763e-08,positive,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,0,-1.4324206153497442e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,1,-3.1930351951314315e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,2,-4.804769541770593e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,4,-7.024706293634117e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,8,-7.27211151153461e-08,negative,4.0,
lag_sensitivity,ln_nfc_loans_ea_stock,12,-6.892046324027103e-08,negative,4.0,
cumulative_irf,ln_compensation_ea20_real,0,-4.8755378922384294e-08,negative,,
cumulative_irf,ln_compensation_ea20_real,1,4.497229798564677e-09,positive,,
cumulative_irf,ln_compensation_ea20_real,2,5.5790111211387644e-09,positive,,
cumulative_irf,ln_compensation_ea20_real,4,-1.2920615359948874e-08,negative,,
cumulative_irf,ln_compensation_ea20_real,8,-8.553328034059422e-08,negative,,
cumulative_irf,ln_compensation_ea20_real,12,-1.7467911230635645e-07,negative,,
cumulative_irf,ln_ecb_assets_ea_stock,0,3.7078078200004777e-07,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,1,6.645337163634204e-07,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,2,1.1806404462478335e-06,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,4,1.7116116625835837e-06,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,8,2.08481040855423e-06,positive,,
cumulative_irf,ln_ecb_assets_ea_stock,12,1.887104180793453e-06,positive,,
cumulative_irf,ln_hh_loans_ea_stock,0,1.0575137255283764e-08,positive,,
cumulative_irf,ln_hh_loans_ea_stock,1,3.836318032405822e-09,positive,,
cumulative_irf,ln_hh_loans_ea_stock,2,3.2753471420665146e-10,positive,,
cumulative_irf,ln_hh_loans_ea_stock,4,-8.0671308876327e-09,negative,,
cumulative_irf,ln_hh_loans_ea_stock,8,-6.10824775980987e-08,negative,,
cumulative_irf,ln_hh_loans_ea_stock,12,-1.748053705997621e-07,negative,,
cumulative_irf,ln_house_price_de_real,0,1.3833017289775451e-08,positive,,
cumulative_irf,ln_house_price_de_real,1,6.0553771491119e-08,positive,,
cumulative_irf,ln_house_price_de_real,2,1.213067475735187e-07,positive,,
cumulative_irf,ln_house_price_de_real,4,1.7821609577814488e-07,positive,,
cumulative_irf,ln_house_price_de_real,8,1.9146259104414627e-07,positive,,
cumulative_irf,ln_house_price_de_real,12,2.601819204069757e-07,positive,,
cumulative_irf,ln_nfc_loans_ea_stock,0,7.1298949001918625e-09,positive,,
cumulative_irf,ln_nfc_loans_ea_stock,1,-8.692451612504514e-09,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,2,-1.9984517766329473e-08,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,4,-6.682278691801806e-08,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,8,-2.0039510117143575e-07,negative,,
cumulative_irf,ln_nfc_loans_ea_stock,12,-4.414140415413188e-07,negative,,
regime_interactions,ln_compensation_ea20_real,0,-4.640163388664931e-09,negative,,covid
regime_interactions,ln_compensation_ea20_real,1,1.2052613008363248e-07,positive,,covid
regime_interactions,ln_compensation_ea20_real,2,2.6708291096651343e-08,positive,,covid
regime_interactions,ln_compensation_ea20_real,4,-1.0060135441314824e-09,negative,,covid
regime_interactions,ln_compensation_ea20_real,8,-3.0723271620714916e-08,negative,,covid
regime_interactions,ln_compensation_ea20_real,12,-2.401479825606257e-13,negative,,covid
regime_interactions,ln_compensation_ea20_real,0,-1.0261655023058355e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,1,-3.38218334179488e-08,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,2,-1.2006607256376378e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,4,-8.995923134935958e-08,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,8,-1.0038012143813473e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,12,-1.244416062083512e-07,negative,,pre_qe
regime_interactions,ln_compensation_ea20_real,0,-1.4550654123902466e-07,negative,,qe
regime_interactions,ln_compensation_ea20_real,1,-6.66143708780906e-08,negative,,qe
regime_interactions,ln_compensation_ea20_real,2,-5.7987240488239464e-08,negative,,qe
regime_interactions,ln_compensation_ea20_real,4,-5.5450446034103975e-08,negative,,qe
