factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_dfr_eop,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.0018975823812241903,0.00013552322962367212,0.006902457861251925,positive,negative,unstable_or_unavailable,0.9658693514434485,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.05278217456560293,0.0015500106362829442,-0.0008771984429801333,negative,negative,stable,0.8196675085292298,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.3470415536648947,0.016257126440329343,-0.0031879729867946706,negative,negative,stable,0.5620769611231667,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,4.99432281535419,0.2629376611056118,0.01617110528046496,positive,negative,unstable_or_unavailable,0.04224665273021143,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.23947965437137692,0.0069942550759763775,3181.5919873274324,positive,negative,unstable_or_unavailable,0.6277246019059305,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.8796884135603986,0.04020571028859776,-14664.999074609199,negative,negative,stable,0.35894981965557643,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.2263980154143794,0.08054419792342488,65092.62898315597,positive,negative,unstable_or_unavailable,0.2867733905715625,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.16471963117606295,0.0048213371265529905,-0.00015839028098067263,negative,positive,unstable_or_unavailable,0.6873909081666315,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,4.937416535422429,0.19035884042959547,-0.0008226537242958397,negative,positive,unstable_or_unavailable,0.03740216339798313,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
