KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2010-Q4,0.4558891668369008,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2011-Q1,9.276005709539074,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2011-Q2,12.775681161067716,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2011-Q3,9.069649125083833,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2011-Q4,18.315758659014367,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2012-Q1,28.71524650173829,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2012-Q2,17.23157566195731,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2012-Q3,12.3491977130474,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2012-Q4,12.491689345902552,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2013-Q1,17.545432548063694,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET,Q,U2,ALL,Z,H,H,B3,ST,S,WFNET,2013-Q2,13.588044229751578,A,F,,,P3M,B,,,0,,Credit standards-Household,"Euro area (changing composition) - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate",PC,0
