response,response_label,channel,response_role,shock,horizon_months,coefficient_common_sample,ci_68_low,ci_68_high,ci_90_low,ci_90_high,ci_95_low,ci_95_high,bootstrap_replications,bootstrap_method,block_length,block_length_rule,nobs_common_horizon_sample,interpretation_layer,moving_block_width_90,wild_width_90,width_ratio_mbb_to_wild
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,1,0.05305386491790152,0.027313470604301063,0.07691353565974482,0.010336192373514502,0.08892305059674585,0.0010871738052908072,0.09603624316497218,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.07858685822323135,0.09531618603672401,0.8244859712803964
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,3,0.13168072788447518,0.09236792280464386,0.16482403813386928,0.06981132268573019,0.18837852053817805,0.05867189249702314,0.19948442308027847,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.11856719785244786,0.16230067912079005,0.7305403680055205
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,6,0.13925284780171976,0.08358530107723021,0.1940264091546261,0.0435073739476784,0.22153247783421778,0.02123085471496335,0.24135511704286933,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.1780251038865394,0.2146799248409063,0.8292582737695159
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,12,0.07528449470630728,-0.0074378860305535964,0.15645103255625775,-0.07294659987587554,0.20944174955399347,-0.09488823842015227,0.23446279046491977,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.282388349429869,0.2590741175068,1.0899905870468019
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,canonical_proxy,target_factor_monthly_easing,24,-0.12620504681845857,-0.22437863789216456,0.010176467200075392,-0.31221597328864875,0.07164805379219077,-0.3485181610288742,0.10984962276349122,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,222,dependence_aware_reduced_form_uncertainty,0.38386402708083955,0.28413497710125263,1.350991810290389
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,short_window_proxy,target_factor_monthly_easing,0,-0.009465597241837891,-0.022828891050892735,0.004274208821835322,-0.03185490111942462,0.01156224157617205,-0.034927663804853404,0.015481095958089525,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,73,dependence_aware_reduced_form_uncertainty,0.04341714269559667,0.03991325100273981,1.0877876796509593
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,short_window_proxy,target_factor_monthly_easing,1,0.013031937471900594,0.0009094254578826569,0.02328591536868023,-0.00368255074602123,0.030806753868390636,-0.007655884679566782,0.034666165876268557,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,73,dependence_aware_reduced_form_uncertainty,0.03448930461441187,0.04171740267964323,0.8267366230650202
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,short_window_proxy,target_factor_monthly_easing,3,-2.247643120281289e-05,-0.01561541477652016,0.012258039717470312,-0.026183756565736457,0.022766698394279482,-0.030157800098938564,0.027945715816138923,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,73,dependence_aware_reduced_form_uncertainty,0.04895045496001594,0.05345855971738989,0.9156710397510488
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,short_window_proxy,target_factor_monthly_easing,6,0.01757402746715698,0.0015780476214381017,0.03226197350701857,-0.006655151707791916,0.042703644604131334,-0.012425894407878231,0.046659148948189746,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,73,dependence_aware_reduced_form_uncertainty,0.04935879631192325,0.0461895867993683,1.0686130734687216
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,short_window_proxy,target_factor_monthly_easing,12,-0.0024568383245549856,-0.019830287483239173,0.01626573357987602,-0.028095339932831045,0.026474987696607874,-0.03370344528869466,0.032527638615465544,399,moving_block,12,automatic_max_6_n_cuberoot_half_max_horizon,73,dependence_aware_reduced_form_uncertainty,0.05457032762943892,0.049260459812023163,1.1077916819631424
