factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,1.403550964842799,0.03964435562513443,-19414.79865167034,negative,negative,stable,0.24434540996544898,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.11290136578841506,0.005347505955356838,12631.185704998983,positive,negative,unstable_or_unavailable,0.7401989312675499,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.047213524193878344,0.0033610597655229823,-16978.985982392915,negative,negative,stable,0.8311196860750493,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.3891378061850628,0.011315718596325911,-0.0006219483312827475,negative,negative,stable,0.5369160658814687,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,2.022077849656002,0.08783211762470068,0.0013197374203398106,positive,negative,unstable_or_unavailable,0.16971017402709918,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.1042727889798394,0.07310996063216779,-0.0014258709604356564,negative,negative,stable,0.31113186168722196,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.015686970440256423,0.00046116870883391103,0.00024120402880031247,positive,negative,unstable_or_unavailable,0.9010651542526633,36,2.4293833962391775,112,39.944635440956326,0.6286928317056368
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,2.498338895336757,0.10631980866666929,-0.004186785389107321,negative,negative,stable,0.12891183243545284,23,0.4633968930685427,49,11.147660204727934,0.17545420013563787
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.28352100941967057,16,2.667675051225679,0.04198681909375811
timing,quarterly_mean,direct_quarterly,timing_factor_quarterly_mean,d_ln_nfc_loans_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.311785683915004,0.02178523985762444,0.001878866359195625,positive,negative,unstable_or_unavailable,0.5854066536486153,16,0.5942440382688877,31,9.776041527990024,0.15386614906496698
