,shadow_rate,ln_credit,ln_real_equity,ln_real_housing,ln_real_income,ln_cpi
2011-11-30,-3.0724653370667614,9.114649241219258,2.312881030791414,-0.5082493678458309,9.455847973223301,5.425694233875741
2011-12-31,-2.921362611866216,9.115973429933222,2.3050466002390233,-0.5195096461491377,9.464866304519061,5.42593191411771
2012-01-31,-3.0039758082123273,9.122620084678099,2.3824907192257974,-0.5296491043505925,9.470201506225555,5.4286524062749715
2012-02-29,-3.0078325873002716,9.13421873899843,2.4413245321134918,-0.5330522544310343,9.47497897125935,5.430787571311839
2012-03-31,-2.521052844675409,9.137155670784319,2.488391866971499,-0.5212907129482165,9.477799328738929,5.4328788534432375
2012-04-30,-2.9646026180962273,9.141315117822062,2.475200921856948,-0.5039495666830435,9.481626258616407,5.434538264209312
2012-05-31,-3.2522116392122857,9.144376199346954,2.4014769127965097,-0.48344567513717934,9.481321252704552,5.43246794243903
2012-06-30,-3.209895202113783,9.146679953193868,2.437653435567981,-0.46769232222400603,9.480153745885481,5.431641237641456
2012-07-31,-3.4123548933437173,9.15102538970738,2.4475620646935172,-0.4602295991144061,9.472689251709944,5.431930005871957
2012-08-31,-3.168455635224961,9.155294217039994,2.489688213033454,-0.46309464482482654,9.469746419076227,5.43772272361508
2012-09-30,-3.4701451623841804,9.158852553406872,2.4946027251192873,-0.47026252040509586,9.476780932433526,5.442482643478538
2012-10-31,-3.615885390736019,9.160542787929709,2.4363538968872223,-0.4756611643612242,9.483568487457813,5.445175808232938
2012-11-30,-3.8702316526922553,9.166710924620588,2.4492856636289067,-0.47402903500067556,9.496699069153053,5.443495052058861
2012-12-31,-3.7874223967888825,9.170949262106205,2.4430570016084316,-0.4745542125091173,9.520959859022565,5.443373963123214
2013-01-31,-3.6008941905785306,9.175029772196247,2.467264377862153,-0.4734513971269511,9.460748834438405,5.445352792889694
2013-02-28,-3.6547705024082546,9.176299950313684,2.464426786131283,-0.4729865615134718,9.458285798204102,5.450768030738649
2013-03-31,-3.7961864991135283,9.176000275015642,2.4960753662286983,-0.45106425392941435,9.461262501095613,5.447952150764697
2013-04-30,-4.136890611403853,9.182219266628001,2.5222635867630228,-0.42884046332067133,9.46447083151657,5.445861988630356
2013-05-31,-3.5909784634447077,9.182618980261568,2.5539929508072325,-0.41029145679671386,9.469175338870244,5.4462760583811445
2013-06-30,-2.5668054290260587,9.183644725464607,2.52711725576968,-0.3961281200466591,9.469291124728288,5.448653637903099
2013-07-31,-2.4166132565792218,9.182433755403919,2.585378679784284,-0.38626883236286313,9.468217661935757,5.450609176890295
2013-08-31,-2.1742622916047756,9.181558123588632,2.5776794909483547,-0.3816835117903255,9.47036343643399,5.452993622521666
2013-09-30,-2.3465331117839425,9.182184748893146,2.623206979837252,-0.380305152218075,9.474817786783369,5.453370496187798
2013-10-31,-2.7705588227149205,9.185553009947226,2.6710535811699256,-0.3815482313270355,9.470748879042503,5.453905584051288
2013-11-30,-2.9542385463337246,9.189118420916394,2.7012838036958082,-0.3845763055798638,9.472620017478976,5.455748374496865
2013-12-31,-2.5152368986602323,9.191943525457022,2.728075375431859,-0.3877379508173933,9.474172788949394,5.458389053990231
2014-01-31,-2.4284990035359484,9.19555300174726,2.7059512787235334,-0.38961940178492094,9.478801397980853,5.460810295707806
