dimension,response,horizon,value,sign,control_lags,regime
regime_interactions,ln_ecb_assets_ea_stock,2,-1.0486909622899633e-07,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,4,-2.0653028468516914e-07,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,8,-9.628264776995883e-08,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,12,-5.118160768646686e-13,negative,,covid
regime_interactions,ln_ecb_assets_ea_stock,0,6.423384802166535e-07,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,1,9.074674093080824e-07,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,2,1.374581609296522e-06,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,4,1.3849672952351424e-06,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,8,4.211626497926593e-07,positive,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,12,-5.902249929512591e-07,negative,,pre_qe
regime_interactions,ln_ecb_assets_ea_stock,0,6.085843808467259e-07,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,1,6.975721116138115e-07,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,2,1.1021436254196692e-06,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,4,1.4631505470027851e-06,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,8,9.907867842964516e-07,positive,,qe
regime_interactions,ln_ecb_assets_ea_stock,12,-1.1626913436637076e-07,negative,,qe
regime_interactions,ln_ecb_assets_ea_stock,0,-1.893782829170395e-08,negative,,tightening
regime_interactions,ln_ecb_assets_ea_stock,1,7.347840497321503e-07,positive,,tightening
regime_interactions,ln_ecb_assets_ea_stock,2,1.242216290055815e-12,positive,,tightening
regime_interactions,ln_ecb_assets_ea_stock,4,4.812821226406257e-13,positive,,tightening
regime_interactions,ln_ecb_assets_ea_stock,8,-3.122263774855869e-12,negative,,tightening
regime_interactions,ln_ecb_assets_ea_stock,12,2.56157140409241e-12,positive,,tightening
regime_interactions,ln_hh_loans_ea_stock,0,1.5717734829516667e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,1,1.446917874691868e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,2,2.310956542153905e-08,positive,,covid
regime_interactions,ln_hh_loans_ea_stock,4,3.3228217113737696e-08,positive,,covid
