"date","wx_shadow_rate","dfr_eop","dfr_avg","hh_loans_ea_stock","nfc_loans_ea_stock","dax_close","dax_volume","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
2001-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,92.13,92.22,NA,NA,NA
2001-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,92.54,92.64,NA,NA,NA
2002-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,92.66,92.74,NA,NA,NA
2002-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.2,92.8,92.89,NA,NA,NA
2002-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,93.33,93.42,NA,NA,NA
2002-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.3,93.75,93.84,NA,NA,NA
2002-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,93.92,94.01,NA,NA,NA
2002-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,93.88,93.96,NA,NA,NA
2002-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,93.78,93.87,NA,NA,NA
2002-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,93.85,93.93,NA,NA,NA
2002-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,94.09,94.17,NA,NA,NA
2002-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.2,94.31,94.39,NA,NA,NA
2002-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,94.23,94.32,NA,NA,NA
2002-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.9,94.69,94.78,NA,NA,NA
2003-01-31,NA,NA,NA,3426384,2995951,NA,NA,NA,NA,95.9,94.65,94.7,NA,3572871.74139729,3124036.49635036
2003-02-28,NA,NA,NA,3442614,3001786,NA,NA,NA,NA,96.4,95.02,95.08,NA,3571176.34854772,3113885.89211618
2003-03-31,NA,NA,NA,3457164,3002978,NA,NA,NA,NA,96.5,95.58,95.63,NA,3582553.36787565,3111894.30051813
2003-04-30,NA,NA,NA,3475351,3012289,NA,NA,NA,NA,96.3,95.72,95.78,NA,3608879.5430945,3128025.96053998
2003-05-31,NA,NA,NA,3491737,3008468,NA,NA,NA,NA,96,95.66,95.71,NA,3637226.04166667,3133820.83333333
2003-06-30,NA,NA,NA,3520015,3028467,NA,NA,NA,NA,96.3,95.78,95.83,NA,3655259.60539979,3144825.54517134
2003-07-31,NA,NA,NA,3546140,3025558,NA,NA,NA,NA,96.5,95.64,95.69,NA,3674756.47668394,3135293.2642487
2003-08-31,NA,NA,NA,3557558,3031818,NA,NA,NA,NA,96.6,95.79,95.83,NA,3682772.25672878,3138527.95031056
2003-09-30,NA,NA,NA,3585491,3029954,NA,NA,NA,NA,96.5,96.12,96.17,NA,3715534.71502591,3139848.70466321
2003-10-31,NA,NA,NA,3608956,3033209,NA,NA,NA,NA,96.4,96.26,96.31,NA,3743730.29045643,3146482.36514523
2003-11-30,NA,NA,NA,3628186,3048295,NA,NA,NA,NA,96.2,96.31,96.35,NA,3771503.11850312,3168705.82120582
2003-12-31,NA,NA,NA,3658020,3059017,NA,NA,NA,NA,97,96.6,96.65,NA,3771154.63917526,3153625.77319588
2004-01-31,NA,NA,NA,3663354,3064130,NA,NA,NA,NA,97,96.39,96.41,NA,3776653.60824742,3158896.9072165
2004-02-29,NA,NA,NA,3677839,3063198,NA,NA,NA,NA,97.2,96.62,96.64,NA,3783784.97942387,3151438.27160494
2004-03-31,NA,NA,NA,3704549,3076809,NA,NA,NA,NA,97.6,97.23,97.25,NA,3795644.46721311,3152468.23770492
