"date","wx_shadow_rate","dfr_eop","dfr_avg","hh_loans_ea_stock","nfc_loans_ea_stock","dax_close","dax_volume","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
2008-08-31,4.27850990652411,3.25,3.25,5213898.48,4761672.05,6422.3,2626629652,1,99.6094482092293,107.7,108.48,108.32,5963.13834726091,4841131.36490251,4421236.81522748
2008-09-30,3.75369656138453,3.25,3.25,5235649.94,4800314.85,5831.02,4644012736,1.6,101.203199380577,107.6,108.69,108.52,5419.16356877324,4865845.66914498,4461259.15427509
2008-10-31,4.25821116469578,3.25,3.23387096774194,5250814.48,4855319.09,4987.97,8597750080,-1.3,99.8875577886294,107.3,108.72,108.55,4648.62068965517,4893582.92637465,4524994.49207828
2008-11-30,1.93333369055441,2.75,2.93333333333333,5259401.56,4887730.6,4669.44,3294708832,0.9,100.786545808727,106.7,108.2,108.02,4376.23242736645,4929148.60356139,4580815.93252109
2008-12-31,1.62491977372237,2,2.21774193548387,5270873.17,4880439.71,4810.2,3033000800,-0.2,100.58497271711,107.1,108.06,107.88,4491.31652661064,4921450.2054155,4556899.8225957
2009-01-31,0.797281502135494,1,1.64516129032258,5279002.01,4930612.41,4338.35,3164270288,-3,97.5674235355963,106.5,107.19,106.98,4073.56807511737,4956809.39906103,4629683.01408451
2009-02-28,0.409809309411408,1,1,5274894.99,4923225.59,3843.74,2815267128,-0.4,97.1771538414539,107.2,107.63,107.42,3585.57835820896,4920610.99813433,4592561.18470149
2009-03-31,0.123994955983235,0.5,0.661290322580645,5275719.2,4900934.82,4084.76,3475893045,0,97.1771538414539,107,108.03,107.82,3817.53271028037,4930578.69158879,4580312.91588785
2009-04-30,0.275182149983028,0.25,0.308333333333333,5280231.37,4903246.86,4769.45,2918125614,2.3,99.4122283798074,107.1,108.42,108.21,4453.26797385621,4930188.02054155,4578195.0140056
2009-05-31,0.266165188530255,0.25,0.25,5286358.39,4888082.88,4940.82,2478791953,-2.7,96.7280982135526,107,108.47,108.27,4617.58878504673,4940521.85981308,4568301.75700935
2009-06-30,0.171480824005485,0.25,0.25,5313435.42,4862630.26,4808.64,2199589301,-1.6,95.1804486421357,107.4,108.69,108.49,4477.31843575419,4947332.79329609,4527588.69646182
2009-07-31,-0.46495675046441,0.25,0.25,5316317.08,4845745.75,5332.14,2117383986,2.1,97.1792380636206,107.3,107.97,107.77,4969.37558247903,4954629.15191053,4516072.46039143
2009-08-31,-0.730420142370935,0.25,0.25,5316506.84,4816186.6,5464.61,1808274064,-1,96.2074456829844,107.6,108.33,108.14,5078.63382899628,4940991.48698885,4476009.85130112
2009-09-30,-0.42021012226872,0.25,0.25,5329674.09,4801065.37,5675.16,2445835134,1.1,97.2657275854972,107.1,108.35,108.16,5298.93557422969,4976353.02521008,4482787.46031746
2009-10-31,-0.11909103890617,0.25,0.25,5336493.94,4780944.68,5414.96,2839360549,0.3,97.5575247682537,107.2,108.6,108.41,5051.26865671642,4978072.70522388,4459836.45522388
2009-11-30,0.134012799796583,0.25,0.25,5354166.28,4778778.29,5625.95,2328656797,0.5,98.0453123920949,107,108.73,108.54,5257.89719626168,5003893.71962617,4466147.93457944
2009-12-31,0.192457787262263,0.25,0.25,5372868.94,4762783.56,5957.43,1885637479,0.6,98.6335842664475,108,109.06,108.88,5516.13888888889,4974878.64814815,4409984.77777778
2010-01-31,0.188979992073378,0.25,0.25,5366959.59,4756275.12,5608.79,2622377206,-3.2,95.4773095699212,107.3,108.19,107.99,5227.20410065238,5001826.2721342,4432688.83504194
2010-02-28,0.0293556904859358,0.25,0.25,5368880.28,4759666.46,5598.46,2597843222,2.7,98.055196928309,107.7,108.52,108.33,5198.19870009285,4985032.75766017,4419374.61467038
2010-03-31,0.212222465215461,0.25,0.25,5380875.48,4749499.3,6153.55,2545565117,0.6,98.6435281098789,108.3,109.72,109.53,5681.94829178209,4968490.74792244,4385502.5854109
2010-04-30,0.336203019040102,0.25,0.25,5387082.9,4735414.49,6135.7,2725526963,-0.5,98.1503104693295,108.2,110.16,109.98,5670.70240295749,4978819.6857671,4376538.34565619
2010-05-31,0.0464101580894614,0.25,0.25,5399012.61,4756556.69,5964.33,3888514248,0.6,98.7392123321455,108.3,110.29,110.1,5507.22991689751,4985237.86703601,4392019.1043398
2010-06-30,0.397490304052916,0.25,0.25,5447091.1,4762106.23,5965.52,2616461883,0.6,99.3316476061384,108.3,110.29,110.1,5508.32871652816,5029631.67128347,4397143.33333333
2010-07-31,0.641787258304714,0.25,0.25,5450936.88,4750177.38,6147.97,2214408650,0.7,100.026969139381,108.6,109.83,109.63,5661.11418047882,5019278.89502762,4374012.32044199
2010-08-31,0.535180135635297,0.25,0.25,5465857.47,4739020.74,5925.22,2097355445,-0.9,99.1267264171269,108.7,110.04,109.85,5450.98436062558,5028387.73689052,4359724.69181233
2010-09-30,0.804366742594524,0.25,0.25,5470723.41,4754367.39,6229.02,2449547830,-0.4,98.7302195114584,108.5,110.38,110.19,5741.03225806452,5042141.39170507,4381905.42857143
2010-10-31,0.959316085651437,0.25,0.25,5487239.62,4738723.92,6601.37,2168915037,-0.1,98.6314892919469,108.6,110.71,110.52,6078.60957642726,5052706.83241252,4363465.85635359
2010-11-30,0.764615959770754,0.25,0.25,5510742.39,4759606.51,6688.49,2331507333,0,98.6314892919469,108.7,110.81,110.62,6153.16467341306,5069680.21159154,4378662.84268629
2010-12-31,0.521886410517865,0.25,0.25,5520156.08,4734694.61,6914.19,1794678005,-0.2,98.434226313363,110,111.47,111.29,6285.62727272727,5018323.70909091,4304267.82727273
2011-01-31,0.67846314502103,0.25,0.25,5519591.38,4764575.74,7077.48,2362321307,0.1,98.5326605396764,109.4,110.7,110.49,6469.36014625228,5045330.32906764,4355188.06215722
2011-02-28,0.63638005539655,0.25,0.25,5523701.56,4768438.27,7272.32,2119345638,2.4,100.897444392629,110.1,111.16,110.96,6605.19527702089,5016985.9763851,4331006.6030881
2011-03-31,0.711470688038197,0.25,0.25,5536401.52,4765490.65,7041.31,2996883764,-2.5,98.3750082828129,110.8,112.66,112.46,6354.97292418773,4996752.27436823,4300984.34115523
