"date","wx_shadow_rate","dfr_avg","dfr_eop","hh_loans_ea_stock","nfc_loans_ea_stock","credit_standards_enterprise","credit_standards_household","house_price_de","compensation_ea20_nominal","dax_close","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","ecb_total_assets","ecb_monetary_policy_securities","house_price_de_real","compensation_ea20_real","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
2008-03-31,3.9806726504378,3,3,5117563.02,4582507.68,40,21,99.4,82.02,6534.97,0.0333333333333334,100.166240951559,106.066666666667,106.523333333333,106.393333333333,NA,NA,93.7146448774356,76.9972150076665,6161.19107479573,4824855.14142049,4320403.21810182
2008-06-30,4.07680402755618,3,3,5189519.1,4708682.14,49,33,100.3,82.46,6418.32,-0.2,99.0863683988805,106.9,108.286666666667,108.143333333333,NA,NA,93.8260056127222,76.1497260358308,6004.04115996258,4854554.81758653,4404754.10664172
2008-09-30,4.09377965520856,3.22849462365591,3.25,5235649.94,4800314.85,43,29,99.9,83.28,5831.02,0.866666666666667,99.8119545461827,107.8,108.603333333333,108.44,NA,NA,92.6716141001855,76.6827291979988,5409.10946196661,4856818.12615956,4452982.23562152
2008-12-31,2.60548820965752,2.79498207885305,2.66666666666667,5270873.17,4880439.71,65,36,100.6,83.51,4810.2,-0.2,100.419692104822,107.033333333333,108.326666666667,108.15,2075107,0,93.9894113983183,77.0908979014093,4494.11398318281,4924515.57458736,4559738.12830894
2009-03-31,0.443695255843379,1.10215053763441,0.833333333333333,5275719.2,4900934.82,64,41,100.3,83.45,4084.76,-1.13333333333333,97.3072437395014,106.9,107.616666666667,107.406666666667,NA,NA,93.8260056127222,77.5437509679418,3821.10383536015,4935191.01964453,4584597.58652947
2009-06-30,0.237609387506256,0.269444444444444,0.25,5313435.42,4862630.26,44,28,99,83.83,4808.64,-0.666666666666667,97.1069250784986,107.166666666667,108.526666666667,108.323333333333,NA,NA,92.3794712286159,77.2436881872351,4487.06687402799,4958104.59097978,4537446.58786936
2009-09-30,-0.538529005034688,0.25,0.25,5329674.09,4801065.37,21,22,99,84.42,5675.16,0.733333333333333,96.8841371107007,107.333333333333,108.216666666667,108.023333333333,NA,NA,92.2360248447205,78.0101647928538,5287.41614906832,4965534.86645963,4473042.27018634
2009-12-31,0.0691265160508922,0.25,0.25,5372868.94,4762783.56,8,14,99.4,84.94,5957.43,0.466666666666667,98.0788071422654,107.4,108.796666666667,108.61,1897939,28782,92.5512104283054,78.072244860443,5546.95530726257,5002671.26629423,4434621.56424581
2010-03-31,0.143519382591592,0.25,0.25,5380875.48,4749499.3,3,3,98.6,85.25,6153.55,0.0333333333333334,97.3920115360364,107.766666666667,108.81,108.616666666667,NA,NA,91.4939684503557,78.3475783475783,5710.0680482524,4993079.62882771,4407206.27899783
2010-06-30,0.260034493727493,0.25,0.25,5447091.1,4762106.23,4,10,99.8,85.9,5965.52,0.233333333333333,98.7403901358711,108.266666666667,110.246666666667,110.06,NA,NA,92.179802955665,77.9161879421902,5510.02463054187,5031180.20320197,4398497.13362069
2010-09-30,0.660444712178178,0.25,0.25,5470723.41,4754367.39,11,10,100.6,86.21,6229.02,-0.2,99.2946383559889,108.6,110.083333333333,109.89,NA,NA,92.633517495396,78.3133989401968,5735.74585635359,5037498.5359116,4377870.52486188
2010-12-31,0.748606151980019,0.25,0.25,5520156.08,4734694.61,4,0,101,86.57,6914.19,-0.1,98.5657349657523,109.1,110.996666666667,110.81,1997195,134829,92.5756186984418,77.9933331331271,6337.47937671861,5059721.42988084,4339775.07791017
2011-03-31,0.675437962818593,0.25,0.25,5536401.52,4765490.65,0,9,101.5,87.31,7041.31,0,99.268371071706,110.1,111.506666666667,111.303333333333,NA,NA,92.188919164396,78.3002511060624,6395.37693006358,5028520.90826521,4328329.38237966
2011-06-30,1.07630028428827,0.466666666666667,0.5,5577796.14,4800737.27,4,13,101.9,87.75,7376.24,0.5,98.9927629354922,110.966666666667,113.293333333333,113.086666666667,NA,NA,91.8293781916491,77.4538072260798,6647.25743466506,5026551.04235506,4326287.71703214
2011-09-30,0.877451442611098,0.717741935483871,0.75,5591896.31,4814833.65,2,9,103.1,87.98,5502.02,0,100.044440102782,111.466666666667,113.056666666667,112.853333333333,NA,NA,92.494019138756,77.8193826104903,4936.02272727273,5016653.3881579,4319527.79605263
2011-12-31,-0.0291395258364098,0.557168458781362,0.5,5601272.41,4780389.75,16,18,103.2,88.4,5898.35,-0.0666666666666667,99.8082297033014,111.966666666667,114.26,114.063333333333,2727741,273854,92.1702887764215,77.367407666725,5267.95177136052,5002624.95683239,4269475.81125335
2012-03-31,-0.326623134197316,0.25,0.25,5589325.25,4757783.2,35,29,104.1,88.8,6946.83,0.1,99.0611418345491,112.733333333333,114.493333333333,114.293333333333,NA,NA,92.3418095801301,77.5591009665774,6162.17918391484,4958005.8397398,4220387.2264932
2012-06-30,-0.666140935921221,0.25,0.25,5601377.52,4762357.96,9,17,105.4,89.12,6416.28,0.233333333333333,100.014712640988,113.3,116.08,115.863333333333,NA,NA,93.027360988526,76.7746381805651,5663.08914386584,4943846.00176523,4203316.82259488
2012-09-30,-1.00998850527785,0.0268817204301075,0,5590240.01,4714446.9,10,12,105.8,89.39,7216.15,-0.166666666666667,99.6713049691639,113.766666666667,115.943333333333,115.723333333333,NA,NA,92.9973630237328,77.098007647414,6342.93876355113,4913776.7447993,4143961.52944624
2012-12-31,-0.999989083422412,0,0,5591517.24,4626923.94,15,12,106.6,89.59,7612.39,-0.166666666666667,99.4361650900558,114.2,116.903333333333,116.69,2957007,277153,93.3450087565674,76.6359670382938,6665.84063047285,4896249.77232925,4051597.14535902
2013-03-31,-0.680749210871525,0,0,5566353.17,4603030.14,13,18,107.4,90.09,7795.31,0.166666666666667,99.6993662953823,114.766666666667,116.636666666667,116.413333333333,NA,NA,93.5811792041824,77.2398616787174,6792.31193726401,4850147.984316,4010772.70403718
2013-06-30,-0.111821378269082,0,0,5569348.43,4547054.36,7,14,108.6,90.47,7959.22,-0.233333333333333,99.5598871010628,115.033333333333,117.713333333333,117.493333333333,NA,NA,94.4074181396697,76.8562043382228,6919.05534627644,4841508.34250942,3952814.56968995
2013-09-30,-0.350294022438867,0,0,5564212.43,4491127.83,6,7,109.6,90.87,8594.4,0.366666666666667,100.087356877241,115.7,117.503333333333,117.28,NA,NA,94.7277441659464,77.3339763410967,7428.17631806396,4809172.3681936,3881700.80380294
2013-12-31,-0.262228169756954,0,0,5555023.25,4439840.61,5,3,109.1,91.04,9552.16,-0.0333333333333333,100.415351203509,115.733333333333,117.85,117.636666666667,2267881,235930,94.2684331797235,77.2507424692406,8253.59447004608,4799847.27822581,3836267.80817972
2014-03-31,-0.595961640071171,0,0,5543770.78,4429614.86,2,-1,109.9,91.45,9555.91,0.4,100.913369284793,115.933333333333,117.383333333333,117.173333333333,NA,NA,94.7958596894767,77.9071418429646,8242.5905692927,4781860.9373203,3820829.37895342
2014-06-30,-0.80630563683765,-0.0222222222222222,-0.0333333333333333,5553118.75,4417093.77,1,-5,112.1,91.63,9833.07,0,100.871835653455,116.066666666667,118.373333333333,118.156666666667,NA,NA,96.5824238943136,77.4076368551476,8471.9155657668,4784421.66858128,3805652.30040207
2014-09-30,-1.20955532252986,-0.123333333333333,-0.133333333333333,5548532.26,4385819.26,-4,-4,112.7,91.95,9474.3,-0.266666666666667,100.812343609354,116.6,117.913333333333,117.693333333333,NA,NA,96.6552315608919,77.9810029965511,8125.47169811321,4758603.99656947,3761423.03602058
2014-12-31,-1.89503245870647,-0.2,-0.2,5555463.07,4253517.96,-2,-1,112.7,92.37,9805.55,0.733333333333333,102.012872647773,116.233333333333,118.043333333333,117.833333333333,2203323,217242,96.960137654144,78.2509248016265,8436.09119587037,4779578.20762833,3659464.83510181
2015-03-31,-2.59652701867357,-0.2,-0.2,5563326.12,4281308.05,-5,-3,114.6,92.72,11966.17,0.0666666666666667,103.234856706827,115.766666666667,117.003333333333,116.796666666667,NA,NA,98.9922257414339,79.2456055383037,10336.4555139649,4805637.3049237,3698221.75352721
2015-06-30,-2.23073515685875,-0.2,-0.2,5596932.32,4281862.7,-9,2,117,93.17,10944.97,0.433333333333333,104.473168119796,117.533333333333,118.886666666667,118.673333333333,NA,NA,99.5462280204197,78.3687545561599,9312.22631877481,4761995.73454339,3643104.96313103
2015-09-30,-2.50823470921941,-0.2,-0.2,5618980.01,4257732.99,-4,-7,117.6,93.34,9660.44,0.5,105.716342156728,117.866666666667,118.37,118.156666666667,NA,NA,99.7737556561086,78.8544394694602,8196.07466063349,4767234.17138009,3612330.02545249
2015-12-31,-2.7171040936055,-0.224731182795699,-0.233333333333333,5648249.24,4258010.25,-3,2,119.3,93.7,10743.01,0.8,106.591711609836,116.9,118.34,118.136666666667,2775298,803135,102.053036783576,79.1786378232212,9189.91445680069,4831693.10521814,3642438.19503849
2016-03-31,-3.55379700508383,-0.317204301075269,-0.333333333333333,5649301.47,4274233.31,-3,-6,121.7,94.01,9965.51,-0.866666666666667,106.326543304502,115.933333333333,117.06,116.856666666667,NA,NA,104.974123059229,80.3092431231847,8595.89706728005,4872887.98447384,3686802.74008051
2016-06-30,-3.92365598255806,-0.4,-0.4,5690543.08,4303892.28,-5,3,125.2,94.12,9680.09,0.0666666666666667,105.969061409023,117.4,118.746666666667,118.543333333333,NA,NA,106.64395229983,79.2611722434314,8245.39182282794,4847140.6132879,3666007.0528109
2016-09-30,-4.54542807642284,-0.4,-0.4,5708847.08,4289154.01,-5,0,127.5,94.54,10511.02,0.233333333333333,107.166236962412,118.3,118.676666666667,118.466666666667,NA,NA,107.776838546069,79.6618262505969,8885.05494505494,4825737.17666948,3625658.50380389
2016-12-31,-4.10873670618502,-0.4,-0.4,5733207.95,4299704.53,0,-2,129.3,95.03,11481.06,1.36666666666667,109.505216406816,118.033333333333,119.2,119,3656613,1653995,109.545326179045,79.7231543624161,9726.9641344253,4857278.69245976,3642788.36204462
2017-03-31,-5.10715176875806,-0.4,-0.4,5759655.52,4335066.3,2,1,129.9,95.5,12312.87,0.2,109.597715629567,118,119.09,118.886666666667,NA,NA,110.084745762712,80.1914518431438,10434.6355932203,4881064,3673785
2017-06-30,-5.32402037279751,-0.4,-0.4,5808919.55,4326069.04,-2,-7,132.5,95.89,12325.12,-0.0666666666666667,110.877016527787,119.366666666667,120.553333333333,120.35,NA,NA,111.002513264451,79.5415583697395,10325.4286512147,4866450.33510193,3624185.17732477
2017-09-30,-5.29333708074398,-0.4,-0.4,5838275.36,4317246.13,-3,-4,134.7,96.22,12828.86,0.5,111.646852624745,120.466666666667,120.426666666667,120.22,NA,NA,111.815163254012,79.8992471213463,10649.3027116768,4846382.42390703,3583768.23187604
2017-12-31,-5.12209043395814,-0.4,-0.4,5871209.54,4350143.45,-1,-11,137.4,96.94,12917.64,0.533333333333333,112.65088189836,119.933333333333,120.886666666667,120.68,4462949,2386012,114.563646470261,80.190812331109,10770.683713174,4895394.28015564,3627134.61645359
2018-03-31,-5.11368627801274,-0.4,-0.4,5895645.83,4381924.84,0,-7,138.6,97.25,12096.73,-0.733333333333333,111.291428221669,119.7,120.603333333333,120.396666666667,NA,NA,115.78947368421,80.6362455432409,10105.873015873,4925351.57059315,3660755.92314119
2018-06-30,-6.02370428043262,-0.4,-0.4,5950290.73,4431776.39,-5,-12,141.3,97.86,12306,0.4,113.566138777075,121.633333333333,122.623333333333,122.416666666667,NA,NA,116.168813373527,79.8053660260418,10117.2924088791,4891990.18635243,3643554.17100576
2018-09-30,-6.30455226450304,-0.4,-0.4,5986933.16,4446401.12,-3,-9,144.2,98.62,12246.73,-0.0666666666666667,113.328254090019,123.1,122.976666666667,122.77,NA,NA,117.140536149472,80.1940747567289,9948.60276198213,4863471.29163282,3612023.65556458
2018-12-31,-6.18822124933447,-0.4,-0.4,6029194.34,4478880.98,-5,-3,146,99.17,10558.96,0.333333333333333,114.159122550608,122.433333333333,123.19,122.986666666667,4698196,2651281,119.248570650694,80.5016640961117,8624.25265450585,4924471.28233052,3658220.23958617
2019-03-31,-6.41151855349252,-0.4,-0.4,6057570.92,4512524.68,0,-3,146,99.53,11526.04,0.6,116.10832390047,121.6,122.32,122.116666666667,NA,NA,120.065789473684,81.368541530412,9478.65131578948,4981555.03289474,3710957.79605263
2019-06-30,-6.78591951735058,-0.4,-0.4,6122455.04,4565344.32,-2,2,149.7,100.24,12398.8,0.4,116.352431549405,123.633333333333,124.343333333333,124.136666666667,NA,NA,121.083850094365,80.6155000938262,10028.686977622,4952107.06929091,3692648.41197088
2019-09-30,-7.62885071749739,-0.414444444444444,-0.433333333333333,6171335.65,4570160.08,6,-2,151.8,100.86,12428.08,0.0666666666666667,117.546239251603,124.366666666667,124.153333333333,123.943333333333,NA,NA,122.058429375503,81.2382537722171,9993.095684803,4962210.38595551,3674746.78102385
2019-12-31,-6.99898817484025,-0.5,-0.5,6228908.69,4567896.54,0,0,155.5,101.08,13249.01,0.0333333333333334,117.497348224924,123.933333333333,124.423333333333,124.216666666667,4667063,2632025,125.470683162991,81.2387815790179,10690.43302851,5026015.61861216,3685769.12856374
2020-03-31,-7.08385178296921,-0.5,-0.5,6243686.77,4704433.21,3,3,156.8,100.22,9935.84,-0.2,118.277325553428,123.5,123.676666666667,123.47,NA,NA,126.963562753036,81.0338786621028,8045.21457489879,5055616.81781376,3809257.65991903
2020-06-30,-7.25887499813524,-0.5,-0.5,6284709.2,4838758.26,5,13,159.6,96.04,12310.93,1.8,119.2650132917,124.533333333333,124.613333333333,124.413333333333,NA,NA,128.158458244111,77.0704044511021,9885.65042826553,5046608.02997859,3885512.52141328
2020-09-30,-7.44642339029764,-0.5,-0.5,6339720.79,4830824.48,-5,27,164.4,101.56,12760.73,0.4,124.47069240878,124.2,124.106666666667,123.896666666667,NA,NA,132.367149758454,81.8328319724968,10274.3397745572,5104445.0805153,3889552.72141707
2020-12-31,-7.73880420721419,-0.5,-0.5,6409019.92,4821094.26,14,18,169.1,102.17,13718.78,-0.433333333333333,126.321369662864,123.2,124.083333333333,123.876666666667,6973507,3694496,137.256493506493,82.3398253861652,11135.3733766234,5202126.55844156,3913225.86038961
2021-03-31,-6.65626057421569,-0.5,-0.5,6441416.79,4883082.98,13,9,171.4,102.36,15008.34,1.33333333333333,117.585490745883,125.633333333333,124.983333333333,124.78,NA,NA,136.428760944548,81.8989198559808,11946.1448660122,5127155.84239851,3886773.39877952
2021-06-30,-6.07686555413251,-0.5,-0.5,6521320.23,4860167.17,7,-2,177.9,103.33,15531.04,0.866666666666667,123.893102279954,127.2,126.9,126.693333333333,NA,NA,139.858490566038,81.4263199369582,12209.9371069182,5126824.08018868,3820886.13993711
2021-09-30,-6.37404973744724,-0.5,-0.5,6580868.47,4869702.35,-1,-2,185.4,105.33,15260.69,-1.7,123.789755145601,128.566666666667,127.623333333333,127.403333333333,NA,NA,144.205340938553,82.5319298978766,11869.8651801919,5118642.83380866,3787686.55690952
2021-12-31,-5.13327367769925,-0.5,-0.5,6645190.21,4985989.86,1,2,190.4,106.28,15884.86,0.7,125.927085166892,129.866666666667,129.826666666667,129.61,8560237,4713403,146.611909650924,81.8629968162679,12231.6683778234,5116932.91324435,3839314.57392197
2022-03-31,-4.80884488420694,-0.5,-0.5,6661639.09,4899689.39,2,0,192.3,107.19,14414.75,0.433333333333333,127.236375600209,133.233333333333,132.67,132.45,NA,NA,144.333249937453,80.7944524006934,10819.176882662,4999979.30197648,3677525.18638979
