response,regime,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,F_stat,partial_R2,weak_iv_flag,nobs
ln_compensation_ea20_real,tightening,12,-3.268928944198912e-13,2.054899183228493e-13,-1.5907977242285105,0.11165510529353295,-6.648937318751916e-13,1.1107943035409165e-14,-5.31243963616177e-13,-1.2254182522360536e-13,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_ecb_assets_ea_stock,covid,0,1.3254121042796053e-07,4.5694349400668006e-08,2.9006039513941064,0.0037244428135891484,5.738069408508396e-08,2.077017267708371e-07,8.710010444832537e-08,1.779823164075957e-07,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_ecb_assets_ea_stock,covid,1,-1.783041613486658e-07,1.3408911632547638e-07,-1.3297437274168145,0.1836027222358791,-3.988611306713434e-07,4.2252807974011805e-08,-3.116501401311654e-07,-4.495818256616619e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_ecb_assets_ea_stock,covid,2,-1.0486909622899633e-07,1.7931121051275098e-07,-0.5848440592705663,0.5586525758857354,-3.998097911939536e-07,1.9007159873596097e-07,-2.831865430712851e-07,7.344835061329247e-08,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_ecb_assets_ea_stock,covid,4,-2.0653028468516914e-07,2.671739083304042e-07,-0.7730181662415953,0.4395116296037744,-6.459922568292346e-07,2.3293168745889623e-07,-4.7222348401229957e-07,5.9162914641961285e-08,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_ecb_assets_ea_stock,covid,8,-9.628264776995882e-08,1.2016123999948983e-07,-0.8012787465439571,0.42297029205676157,-2.939302992021059e-07,1.0136500366218826e-07,-2.157779401437106e-07,2.321264460379296e-08,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_ecb_assets_ea_stock,covid,12,-5.118160768646685e-13,2.301118408287736e-13,-2.2242057384848404,0.026134605146119757,-8.903163728563565e-13,-1.3331578087298045e-13,-7.406526109967503e-13,-2.829795427325866e-13,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_ecb_assets_ea_stock,pre_qe,0,6.423384802166535e-07,1.45827188566162e-07,4.404792319816435,1.0588526977280382e-05,4.0247410019546574e-07,8.822028602378411e-07,4.973194829607185e-07,7.873574774725885e-07,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_ecb_assets_ea_stock,pre_qe,1,9.074674093080823e-07,3.506004195092049e-07,2.5883237977251112,0.00964442748339614,3.307810376676592e-07,1.4841537809485055e-06,5.58810058270507e-07,1.2561247603456578e-06,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_ecb_assets_ea_stock,pre_qe,2,1.374581609296522e-06,5.44695299801853e-07,2.523578980388782,0.011616696234760256,4.786375698340248e-07,2.270525648759019e-06,8.329050744612692e-07,1.9162581441317746e-06,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
